ID;Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard;empty
INT_6_B;2014-03;Est Centre;TROYES;PARIS-EST;244;243;1;19;92.2;11.8;TROYES:PARIS-EST
INT_25_A;2014-04;Atlantique Méd.;BORDEAUX-ST-JEAN;NANTES;69;69;0;9;87.0;6.7;BORDEAUX-ST-JEAN:NANTES
INT_44_A;2014-04;Centre Sud-Ouest;CERBERE;PARIS-AUSTERLITZ;299;299;0;23;92.3;12.0;CERBERE:PARIS-AUSTERLITZ
INT_23_A;2014-04;Est Centre;CLERMONT-FERRAND;NÎMES;30;30;0;3;90.0;9.0;CLERMONT-FERRAND:NÎMES
INT_8_B;2014-04;Nord-Normandie;GRANVILLE;PARIS-VAUGIRARD;161;160;1;6;96.2;25.7;GRANVILLE:PARIS-VAUGIRARD
INT_15_B;2014-04;Atlantique Méd.;NANTES;BORDEAUX-ST-JEAN;69;69;0;8;88.4;7.6;NANTES:BORDEAUX-ST-JEAN
INT_17_A;2014-04;Nord-Normandie;PARIS-NORD;MAUBEUGE;297;294;3;20;93.2;13.7;PARIS-NORD:MAUBEUGE
INT_15_A;2014-04;Nord-Normandie;PARIS-NORD;BOULOGNE;63;63;0;6;90.5;9.5;PARIS-NORD:BOULOGNE
INT_3_A;2014-04;Centre Sud-Ouest;ORLÉANS;PARIS-AUSTERLITZ;367;366;1;57;84.4;5.4;ORLÉANS:PARIS-AUSTERLITZ
INT_11_B;2014-04;Est Centre;PARIS-BERCY;CLERMONT-FERRAND;214;212;2;19;91.0;10.2;PARIS-BERCY:CLERMONT-FERRAND
INT_20_B;2014-04;Est Centre;PARIS-EST;BELFORT;106;106;0;4;96.2;25.5;PARIS-EST:BELFORT
INT_5_B;2014-04;Centre Sud-Ouest;TOURS;PARIS-AUSTERLITZ;120;120;0;16;86.7;6.5;TOURS:PARIS-AUSTERLITZ
INT_45_A;2014-05;Atlantique Méd.;BORDEAUX-ST-JEAN;NICE;349;348;1;17;95.1;19.5;BORDEAUX-ST-JEAN:NICE
INT_17_B;2014-05;Est Centre;BORDEAUX-ST-JEAN;LIMOGES;32;31;1;1;96.8;30.0;BORDEAUX-ST-JEAN:LIMOGES
INT_7_B;2014-05;Est Centre;CLERMONT-FERRAND;BÉZIERS;306;305;1;15;95.1;19.3;CLERMONT-FERRAND:BÉZIERS
INT_4_B;2014-05;Est Centre;NEVERS;PARIS-BERCY;132;129;3;5;96.1;24.8;NEVERS:PARIS-BERCY
INT_13_A;2014-05;Nord-Normandie;CAEN;TOURS;255;254;1;13;94.9;18.5;CAEN:TOURS
INT_7_A;2014-05;Nord-Normandie;TROUVILLE-DEAUVILLE;PARIS-ST-LAZARE;60;60;0;9;85.0;5.7;TROUVILLE-DEAUVILLE:PARIS-ST-LAZARE
INT_6_A;2014-05;Nord-Normandie;PARIS-ST-LAZARE;CAEN;228;228;0;17;92.5;12.4;PARIS-ST-LAZARE:CAEN
INT_18_A;2014-05;Centre Sud-Ouest;PARIS-AUSTERLITZ;TOURS;197;197;0;31;84.3;5.4;PARIS-AUSTERLITZ:TOURS
INT_18_B;2014-05;Centre Sud-Ouest;PARIS-AUSTERLITZ;BOURGES;191;191;0;22;88.5;7.7;PARIS-AUSTERLITZ:BOURGES
INT_11_B;2014-05;Est Centre;PARIS-BERCY;CLERMONT-FERRAND;156;156;0;14;91.0;10.1;PARIS-BERCY:CLERMONT-FERRAND
INT_20_A;2014-05;Est Centre;PARIS-EST;TROYES;224;224;0;20;91.1;10.2;PARIS-EST:TROYES
INT_5_B;2014-05;Centre Sud-Ouest;TOURS;PARIS-AUSTERLITZ;169;169;0;10;94.1;15.9;TOURS:PARIS-AUSTERLITZ
INT_2_B;2014-06;Est Centre;BELFORT;PARIS-EST;96;96;0;10;89.6;8.6;BELFORT:PARIS-EST
INT_25_A;2014-06;Atlantique Méd.;BORDEAUX-ST-JEAN;NANTES;50;50;0;12;76.0;3.2;BORDEAUX-ST-JEAN:NANTES
INT_19_A;2014-06;Centre Sud-Ouest;BOURGES;PARIS-AUSTERLITZ;98;98;0;17;82.7;4.8;BOURGES:PARIS-AUSTERLITZ
INT_44_A;2014-06;Centre Sud-Ouest;CERBERE;PARIS-AUSTERLITZ;208;208;0;41;80.3;4.1;CERBERE:PARIS-AUSTERLITZ
INT_23_A;2014-06;Est Centre;CLERMONT-FERRAND;NÎMES;20;20;0;1;95.0;19.0;CLERMONT-FERRAND:NÎMES
INT_21_A;2014-06;Est Centre;CLERMONT-FERRAND;PARIS-BERCY;183;183;0;29;84.2;5.3;CLERMONT-FERRAND:PARIS-BERCY
INT_25_B;2014-06;Atlantique Méd.;HENDAYE;TOULOUSE-MATABIAU;80;79;1;11;86.1;6.2;HENDAYE:TOULOUSE-MATABIAU
INT_9_B;2014-06;Est Centre;LYON-PART-DIEU;NANTES;63;60;3;7;88.3;7.6;LYON-PART-DIEU:NANTES
INT_1_A;2014-06;Nord-Normandie;AMIENS;PARIS-NORD;153;153;0;35;77.1;3.4;AMIENS:PARIS-NORD
INT_2_A;2014-06;Nord-Normandie;PARIS-NORD;AMIENS;227;227;0;46;79.7;3.9;PARIS-NORD:AMIENS
INT_14_A;2014-06;Nord-Normandie;TOURS;CAEN;43;43;0;9;79.1;3.8;TOURS:CAEN
INT_15_A;2014-06;Nord-Normandie;PARIS-NORD;BOULOGNE;47;47;0;1;97.9;46.0;PARIS-NORD:BOULOGNE
INT_5_A;2014-06;Nord-Normandie;CAEN;PARIS-ST-LAZARE;164;163;1;21;87.1;6.8;CAEN:PARIS-ST-LAZARE
INT_20_B;2014-06;Est Centre;PARIS-EST;BELFORT;103;103;0;19;81.6;4.4;PARIS-EST:BELFORT
INT_1_A;2014-07;Nord-Normandie;AMIENS;PARIS-NORD;219;219;0;39;82.2;4.6;AMIENS:PARIS-NORD
INT_2_A;2014-07;Nord-Normandie;PARIS-NORD;AMIENS;309;306;3;62;79.7;3.9;PARIS-NORD:AMIENS
